Date,Job Retention Bonus,Kickstart Job Scheme for young people,Not sure ,"Not using, or intending to use, either of these schemes",
19/11/2020,15.1%,2.0%,9.3%,74.6%,
03/12/2020,25.0%,1.0%,5.8%,69.7%,
17/12/2020,21.00%,*,6.10%,72.70%,
07/01/2021,15.00%,1.50%,4.80%,78.70%,
14/01/2021,20.90%,1.00%,4.70%,73.50%,
28/01/2021,51.30%,0.00%,26.30%,4.40%,
11/02/2021,20.7%,1.8%,4.6%,73.8%,
25/02/2021,18.9%,*,5.6%,76.0%,
11/03/2021,20.10%,1.10%,4.60%,74.30%,
25/03/2021,23.20%,1.00%,4.60%,71.30%,
08/04/2021,19.60%,*,3.60%,76.50%,
22/04/2021,24.40%,2.50%,4.60%,64.90%,
06/05/2021,17.5%,1.7%,3.5%,75.3%,
20/05/2021,23.3%,*,2.9%,69.5%,
03/06/2021,21.0%,1.0%,4.4%,70.9%,
17/06/2021,26.3%,1.6%,9.8%,59.8%,
01/07/2021,19.0%,*,4.7%,72.6%,
15/07/2021,19.4%,1.2%,5.5%,72.8%,
29/07/2021,13.3%,1.4%,7.9%,74.4%,
12/08/2021,16.4%,1.5%,7.9%,65.1%,
26/08/2021,16.5%,*,3.6%,75.8%,
09/09/2021,18.6%,1.1%,7.0%,72.4%,
23/09/2021,22.2%,*,5.40%,70.50%,