Date,Turnover has increased by more than 50%,Turnover has increased between 20% and 50%,Turnover has increased by up to 20%,Turnover unaffected,Turnover has decreased by up to 20%,Turnover has decreased between 20% and 50%,Turnover has decreased by more than 50%,Not sure 
02/07/2020,*,1.60%,5.40%,20.90%,16.70%,29.60%,21.70%,3.20%
16/07/2020,1.20%,3.20%,6.80%,23.60%,20.10%,25.00%,15.70%,4.50%
30/07/2020,*,3.80%,7.90%,28.30%,22.00%,23.70%,9.30%,4.20%
13/08/2020,1.50%,3.80%,7.60%,30.90%,19.20%,23.70%,10.00%,3.40%
27/08/2020,*,3.60%,6.70%,33.20%,23.90%,19.40%,7.80%,4.70%
10/09/2020,*,2.20%,9.40%,36.50%,23.00%,18.10%,4.50%,5.40%
24/09/2020,1.10%,2.90%,7.10%,37.70%,22.20%,18.60%,5.90%,4.60%
08/10/2020,1.1%,3.5%,7.5%,38.7%,20.9%,17.9%,4.7%,5.7%
22/10/2020,*,3.90%,7.10%,40.20%,24.50%,14.40%,4.20%,5.20%
05/11/2020,*,1.60%,9.00%,40.40%,23.30%,14.90%,4.40%,5.90%
19/11/2020,*,2.60%,8.10%,42.00%,20.90%,14.10%,5.20%,6.50%
03/12/2020,*,2.10%,7.80%,39.60%,21.80%,15.90%,5.30%,6.80%
17/12/2020,*,2.60%,7.00%,42.20%,19.80%,15.70%,4.60%,7.70%
07/01/2021,*,2.70%,7.70%,43.30%,21.90%,13.10%,3.90%,6.70%
14/01/2021,*,2.30%,6.30%,47.30%,19.40%,10.90%,5.00%,8.30%
28/01/2021,*,1.20%,5.40%,44.00%,21.10%,14.10%,5.60%,8.00%
11/02/2021,*,*,4.70%,43.10%,21.60%,14.50%,6.40%,8.40%
25/02/2021,*,1.60%,6.30%,39.50%,23.80%,14.10%,6.60%,7.80%
11/03/2021,*,1.80%,7.50%,40.40%,23.10%,13.20%,5.60%,7.80%
25/03/2021,*,3.10%,7.20%,43.30%,19.80%,13.70%,5.50%,6.60%
08/04/2021,*,2.60%,10.50%,42.10%,18.80%,12.30%,5.00%,7.90%
22/04/2021,1.10%,4.50%,10.20%,46.10%,14.80%,11.20%,4.00%,8.10%
06/05/2021,1.10%,3.50%,9.80%,48.60%,15.40%,11.00%,3.20%,7.50%
20/05/2021,1.30%,4.60%,11.00%,45.80%,16.20%,10.50%,3.50%,7.20%
03/06/2021,*,3.90%,9.90%,48.20%,15.80%,9.00%,4.00%,8.80%
17/06/2021,*,3.80%,10.70%,46.80%,15.20%,10.60%,3.00%,9.50%
01/07/2021,*,3.20%,9.10%,51.30%,15.60%,9.90%,2.30%,8.10%
15/07/2021,*,3.50%,11.40%,46.70%,15.70%,10.00%,2.40%,9.70%
29/07/2021,*,3.70%,10.80%,47.60%,14.60%,9.70%,3.10%,10.00%
12/08/2021,*,3.70%,9.40%,48.10%,15.10%,9.20%,3.20%,11.10%
26/08/2021,*,1.40%,6.20%,55.50%,17.50%,9.50%,5.70%,4.00%
09/09/2021,*,1.70%,7.90%,44.20%,22.10%,7.30%,4.80%,11.90%
23/09/2021,*,5.40%,4.10%,48.80%,13.90%,8.70%,6.90%,11.70%
07/10/2021,0.00%,2.30%,5.50%,49.60%,19.50%,8.10%,7.40%,7.50%
21/10/2021,0.00%,1.40%,13.70%,52.20%,11.20%,6.70%,5.10%,9.70%
04/11/2021,0.0%,1.6%,7.0%,62.6%,6.3%,4.8%,7.9%,9.8%
18/11/2021,0.0%,2.9%,9.1%,52.4%,16.1%,9.4%,2.8%,7.2%
02/12/2021,0.0%,3.1%,4.5%,63.6%,6.6%,5.9%,5.8%,10.5%
16/12/2021,*,4.1%,5.7%,51.8%,15.6%,9.2%,7.1%,6.4%