Date,Turnover has increased by more than 50%,Turnover has increased between 20% and 50%,Turnover has increased by up to 20%,Turnover unaffected,Turnover has decreased by up to 20%,Turnover has decreased between 20% and 50%,Turnover has decreased by more than 50%,Not sure ,
02/07/2020,2.50%,6.20%,10.70%,12.70%,12.70%,24.10%,24.10%,7.00%,
16/07/2020,2.70%,7.80%,12.70%,14.60%,13.00%,22.50%,20.00%,6.80%,
30/07/2020,2.70%,7.40%,11.50%,22.20%,17.30%,21.60%,10.70%,6.60%,
13/08/2020,3.00%,7.30%,9.80%,25.00%,18.20%,20.00%,10.10%,6.70%,
27/08/2020,1.20%,6.00%,12.30%,29.90%,22.40%,16.10%,5.00%,7.20%,
10/09/2020,1.20%,5.70%,14.60%,29.80%,23.10%,15.30%,2.70%,7.60%,
24/09/2020,*,5.10%,12.10%,32.40%,24.80%,15.40%,4.10%,5.70%,
08/10/2020,*,5.6%,11.9%,34.2%,22.6%,13.9%,3.5%,8.2%,
22/10/2020,*,3.90%,14.60%,34.20%,27.10%,10.90%,2.80%,6.10%,
05/11/2020,1.40%,5.30%,9.60%,34.50%,22.70%,12.80%,5.60%,8.00%,
19/11/2020,*,4.10%,10.60%,31.40%,21.20%,18.60%,7.30%,6.60%,
03/12/2020,*,3.40%,8.80%,30.40%,21.20%,15.60%,11.60%,8.30%,
17/12/2020,*,4.20%,8.80%,33.30%,21.20%,15.00%,8.50%,8.40%,
07/01/2021,1.1%,4.0%,9.8%,35.2%,20.1%,15.7%,5.7%,8.4%,
14/01/2021,1.10%,3.80%,7.30%,36.90%,19.30%,13.70%,8.30%,9.60%,
28/01/2021,1.9%,2.5%,5.3%,30.7%,21.6%,16.9%,11.4%,9.5%,
11/02/2021,1.1%,2.1%,5.8%,31.1%,21.0%,19.1%,11.5%,8.4%,
25/02/2021,1.7%,3.1%,6.4%,30.5%,22.1%,17.3%,10.9%,8.0%,
11/03/2021,1.40%,3.10%,9.30%,31.40%,19.40%,16.70%,10.20%,8.50%,
25/03/2021,2.10%,3.60%,10.30%,31.90%,20.80%,14.40%,9.70%,7.20%,
08/04/2021,1.50%,4.10%,9.90%,35.60%,19.30%,11.50%,9.50%,8.60%,
22/04/2021,2.10%,4.80%,11.80%,36.00%,16.90%,12.10%,7.60%,8.60%,
06/05/2021,2.1%,5.7%,13.8%,36.5%,15.0%,11.5%,6.1%,9.3%,
20/05/2021,1.8%,7.0%,14.1%,38.4%,15.5%,9.9%,5.1%,8.1%,
03/06/2021,1.50%,5.70%,13.80%,40.00%,14.40%,12.40%,3.10%,9.10%,
17/06/2021,1.70%,5.00%,14.40%,41.00%,17.80%,7.80%,2.40%,9.80%,
01/07/2021,1.0%,5.3%,13.7%,42.7%,15.4%,8.9%,2.9%,10.1%,
15/07/2021,1.00%,5.30%,13.70%,42.70%,15.40%,8.90%,2.90%,10.10%,
29/07/2021,*,4.90%,13.20%,44.90%,15.80%,8.70%,2.20%,9.50%,
12/08/2021,*,4.20%,14.20%,45.30%,16.80%,6.90%,1.90%,10.50%,
26/08/2021,*,3.8%,7.2%,42.0%,14.4%,9.0%,7.0%,16.0%,
09/09/2021,*,2.00%,9.60%,41.80%,14.50%,10.70%,6.00%,15.30%,
23/09/2021,*,1.40%,6.70%,45.20%,14.90%,6.70%,5.40%,19.60%,
07/10/2021,*,*,7.90%,45.60%,13.40%,10.50%,6.10%,15.40%,
21/10/2021,*,*,7.90%,45.60%,13.40%,10.50%,6.10%,15.40%,
04/11/2021,1.1%,2.7%,8.1%,43.7%,17.8%,10.6%,2.5%,13.5%,
18/11/2021,1.10%,2.70%,8.10%,43.70%,17.80%,10.60%,2.50%,13.50%,
02/12/2021,1.1%,3.5%,10.1%,37.8%,20.2%,11.6%,3.0%,12.6%,
16/12/2021,1.1%,2.0%,4.4%,48.3%,14.0%,10.7%,5.4%,14.2%,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,