Date,Job Retention Bonus,Kickstart Job Scheme for young people,Not sure ,"Not using, or intending to use, either of these schemes"
19/11/2020,27.7%,*,23.6%,50.6%
03/12/2020,21.3%,6.4%,12.8%,62.8%
17/12/2020,28.0%,*,12.7%,59.3%
07/01/2021,21.4%,2.5%,8.1%,68.4%
14/01/2021,17.9%,*,11.9%,70.1%
28/01/2021,23.10%,*,14.50%,62.30%
11/02/2021,17.30%,1.90%,10.70%,70.10%
25/02/2021,21.80%,*,6.40%,71.80%
11/03/2021,19.80%,*,12.10%,68.00%
25/03/2021,21.30%,*,11.30%,67.30%
08/04/2021,14.40%,*,4.60%,80.90%
22/04/2021,13.4%,*,15.0%,59.2%
06/05/2021,17.6%,*,17.6%,57.7%
20/05/2021,16.3%,4.4%,9.80%,68.40%
03/06/2021,20.1%,*,7.3%,66.9%
17/06/2021,26.3%,1.6%,9.8%,59.8%
01/07/2021,14.7%,*,14.8%,64.5%
15/07/2021,18.7%,*,5.5%,72.8%
29/07/2021,11.3%,*,17.7%,66.2%
12/08/2021,16.1%,*,5.10%,74.30%
26/08/2021,11.8%,*,14.30%,69.00%
09/09/2021,18.6%,1.1%,7.0%,72.4%
23/09/2021,7.8%,*,22.4%,66.0%